ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.5.0-dev,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
1.5.0-dev,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
1.5.0-dev,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
1.5.0-dev,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
1.5.0-dev,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
1.5.0-dev,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
1.5.0-dev,true,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.
1.5.0-dev,true,event,event.action,keyword,core,,user-password-change,The action captured by the event.
1.5.0-dev,true,event,event.category,keyword,core,array,authentication,Event category. The second categorization field in the hierarchy.
1.5.0-dev,true,event,event.created,date,core,,2016-05-23T08:05:34.857Z,Time when the event was first read by an agent or by your pipeline.
1.5.0-dev,true,event,event.dataset,keyword,core,,apache.access,Name of the dataset.
1.5.0-dev,true,event,event.hash,keyword,extended,,123456789012345678901234567890ABCD,Hash (perhaps logstash fingerprint) of raw field to be able to demonstrate log integrity.
1.5.0-dev,true,event,event.id,keyword,core,,8a4f500d,Unique ID to describe the event.
1.5.0-dev,true,event,event.ingested,date,core,,2016-05-23T08:05:35.101Z,Timestamp when an event arrived in the central data store.
1.5.0-dev,true,event,event.kind,keyword,core,,alert,The kind of the event. The highest categorization field in the hierarchy.
1.5.0-dev,true,event,event.module,keyword,core,,apache,Name of the module this data is coming from.
1.5.0-dev,true,event,event.outcome,keyword,core,,success,The outcome of the event. The lowest categorization field in the hierarchy.
1.5.0-dev,true,event,event.sequence,long,extended,,,Sequence number of the event.
1.5.0-dev,true,event,event.type,keyword,core,array,,Event type. The third categorization field in the hierarchy.
1.5.0-dev,true,file,file.accessed,date,extended,,,Last time the file was accessed.
1.5.0-dev,true,file,file.attributes,keyword,extended,array,"[""readonly"", ""system""]",Array of file attributes.
1.5.0-dev,true,file,file.code_signature.exists,boolean,core,,true,Boolean to capture if a signature is present.
1.5.0-dev,true,file,file.code_signature.status,keyword,extended,,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.
1.5.0-dev,true,file,file.code_signature.subject_name,keyword,core,,Microsoft Corporation,Subject name of the code signer
1.5.0-dev,true,file,file.code_signature.trusted,boolean,extended,,true,Stores the trust status of the certificate chain.
1.5.0-dev,true,file,file.code_signature.valid,boolean,extended,,true,Boolean to capture if the digital signature is verified against the binary content.
1.5.0-dev,true,file,file.created,date,extended,,,File creation time.
1.5.0-dev,true,file,file.ctime,date,extended,,,Last time the file attributes or metadata changed.
1.5.0-dev,true,file,file.device,keyword,extended,,sda,Device that is the source of the file.
1.5.0-dev,true,file,file.directory,keyword,extended,,/home/alice,Directory where the file is located.
1.5.0-dev,true,file,file.drive_letter,keyword,extended,,C,Drive letter where the file is located.
1.5.0-dev,true,file,file.extension,keyword,extended,,png,File extension.
1.5.0-dev,true,file,file.gid,keyword,extended,,1001,Primary group ID (GID) of the file.
1.5.0-dev,true,file,file.group,keyword,extended,,alice,Primary group name of the file.
1.5.0-dev,true,file,file.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,file,file.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,file,file.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,file,file.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,file,file.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,file,file.inode,keyword,extended,,256383,Inode representing the file in the filesystem.
1.5.0-dev,true,file,file.mode,keyword,extended,,0640,Mode of the file in octal representation.
1.5.0-dev,true,file,file.mtime,date,extended,,,Last time the file content was modified.
1.5.0-dev,true,file,file.name,keyword,extended,,example.png,"Name of the file including the extension, without the directory."
1.5.0-dev,true,file,file.owner,keyword,extended,,alice,File owner's username.
1.5.0-dev,true,file,file.path,keyword,extended,,/home/alice/example.png,"Full path to the file, including the file name."
1.5.0-dev,true,file,file.path.text,text,extended,,/home/alice/example.png,"Full path to the file, including the file name."
1.5.0-dev,true,file,file.pe.company,keyword,extended,,Microsoft Corporation,"Internal company name of the file, provided at compile-time."
1.5.0-dev,true,file,file.pe.description,keyword,extended,,Paint,"Internal description of the file, provided at compile-time."
1.5.0-dev,true,file,file.pe.file_version,keyword,extended,,6.3.9600.17415,Process name.
1.5.0-dev,true,file,file.pe.original_file_name,keyword,extended,,MSPAINT.EXE,"Internal name of the file, provided at compile-time."
1.5.0-dev,true,file,file.pe.product,keyword,extended,,Microsoft速 Windows速 Operating System,"Internal product name of the file, provided at compile-time."
1.5.0-dev,true,file,file.size,long,extended,,16384,File size in bytes.
1.5.0-dev,true,file,file.target_path,keyword,extended,,,Target path for symlinks.
1.5.0-dev,true,file,file.target_path.text,text,extended,,,Target path for symlinks.
1.5.0-dev,true,file,file.type,keyword,extended,,file,"File type (file, dir, or symlink)."
1.5.0-dev,true,file,file.uid,keyword,extended,,1001,The user ID (UID) or security identifier (SID) of the file owner.
1.5.0-dev,true,file_classification,file_classification.captured_file,boolean,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.entry_modified,double,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.is_signature_trusted,boolean,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.code_page,long,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.errors,nested,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.errors.count,long,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.errors.error_type,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.file_extension,long,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection,object,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.macro_collection.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file,object,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.project_file.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data,nested,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.name,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.raw_code,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.macro_details.stream_data.raw_code_size,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.compressed_malware_features.data_buffer,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.compressed_malware_features.decompressed_size,integer,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.compressed_malware_features.encoding,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.identifier,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.prevention_threshold,double,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.score,double,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.threshold,double,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.upx_packed,boolean,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.malware_classification.version,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.quarantine_result.alert_correlation_id,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.quarantine_result.quarantine_path,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.signature_signer,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.temp_file_path,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.user_blacklisted,boolean,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.yara_hits,nested,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.yara_hits.identifier,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.yara_hits.matched_data,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.yara_hits.rule_name,keyword,custom,,,TODO
1.5.0-dev,true,file_classification,file_classification.yara_hits.version,keyword,custom,,,TODO
1.5.0-dev,true,host,host.architecture,keyword,core,,x86_64,Operating system architecture.
1.5.0-dev,true,host,host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
1.5.0-dev,true,host,host.geo.city_name,keyword,core,,Montreal,City name.
1.5.0-dev,true,host,host.geo.continent_name,keyword,core,,North America,Name of the continent.
1.5.0-dev,true,host,host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
1.5.0-dev,true,host,host.geo.country_name,keyword,core,,Canada,Country name.
1.5.0-dev,true,host,host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
1.5.0-dev,true,host,host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
1.5.0-dev,true,host,host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
1.5.0-dev,true,host,host.geo.region_name,keyword,core,,Quebec,Region name.
1.5.0-dev,true,host,host.hostname,keyword,core,,,Hostname of the host.
1.5.0-dev,true,host,host.id,keyword,core,,,Unique host id.
1.5.0-dev,true,host,host.ip,ip,core,array,,Host ip addresses.
1.5.0-dev,true,host,host.mac,keyword,core,array,,Host mac addresses.
1.5.0-dev,true,host,host.name,keyword,core,,,Name of the host.
1.5.0-dev,true,host,host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
1.5.0-dev,true,host,host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
1.5.0-dev,true,host,host.os.full.text,text,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
1.5.0-dev,true,host,host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
1.5.0-dev,true,host,host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
1.5.0-dev,true,host,host.os.name.text,text,extended,,Mac OS X,"Operating system name, without the version."
1.5.0-dev,true,host,host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
1.5.0-dev,true,host,host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
1.5.0-dev,true,host,host.type,keyword,core,,,Type of host.
1.5.0-dev,true,host,host.uptime,long,extended,,1325,Seconds the host has been up.
1.5.0-dev,true,host,host.user.domain,keyword,extended,,,Name of the directory the user is a member of.
1.5.0-dev,true,host,host.user.email,keyword,extended,,,User email address.
1.5.0-dev,true,host,host.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
1.5.0-dev,true,host,host.user.full_name.text,text,extended,,Albert Einstein,"User's full name, if available."
1.5.0-dev,true,host,host.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
1.5.0-dev,true,host,host.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
1.5.0-dev,true,host,host.user.group.name,keyword,extended,,,Name of the group.
1.5.0-dev,true,host,host.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
1.5.0-dev,true,host,host.user.id,keyword,core,,,Unique identifiers of the user.
1.5.0-dev,true,host,host.user.name,keyword,core,,albert,Short name or login of the user.
1.5.0-dev,true,host,host.user.name.text,text,core,,albert,Short name or login of the user.
1.5.0-dev,true,process,process.args,keyword,extended,array,"['/usr/bin/ssh', '-l', 'user', '10.0.0.16']",Array of process arguments.
1.5.0-dev,true,process,process.args_count,long,extended,,4,Length of the process.args array.
1.5.0-dev,true,process,process.argv_list,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode,nested,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.more_info_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.program_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.publisher_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.code_signature.exists,boolean,core,,true,Boolean to capture if a signature is present.
1.5.0-dev,true,process,process.code_signature.status,keyword,extended,,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.
1.5.0-dev,true,process,process.code_signature.subject_name,keyword,core,,Microsoft Corporation,Subject name of the code signer
1.5.0-dev,true,process,process.code_signature.trusted,boolean,extended,,true,Stores the trust status of the certificate chain.
1.5.0-dev,true,process,process.code_signature.valid,boolean,extended,,true,Boolean to capture if the digital signature is verified against the binary content.
1.5.0-dev,true,process,process.command_line,keyword,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.command_line.text,text,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.cpu_percent,double,custom,,,TODO
1.5.0-dev,true,process,process.cwd,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.instruction_pointer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.rva,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.symbol_info,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.delta_count,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.evasion_subtype,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.evasion_type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.instruction_pointer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.thread.thread_id,long,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.thread.thread_start_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.total_memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.domain,keyword,custom,,,TODO
1.5.0-dev,true,process,process.entity_id,keyword,extended,,c2c455d9f99375d,Unique identifier for the process.
1.5.0-dev,true,process,process.env_variables,keyword,custom,,,TODO
1.5.0-dev,true,process,process.executable,keyword,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.executable.text,text,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.exit_code,long,extended,,137,The exit code of the process.
1.5.0-dev,true,process,process.file_hash.imphash,keyword,custom,,,Imphash.
1.5.0-dev,true,process,process.file_hash.md5,keyword,custom,,,MD5 hash.
1.5.0-dev,true,process,process.file_hash.sha1,keyword,custom,,,SHA1 hash.
1.5.0-dev,true,process,process.file_hash.sha256,keyword,custom,,,SHA256 hash.
1.5.0-dev,true,process,process.file_hash.sha512,keyword,custom,,,SHA512 hash.
1.5.0-dev,true,process,process.gid,long,custom,,,TODO
1.5.0-dev,true,process,process.group,keyword,custom,,,TODO
1.5.0-dev,true,process,process.handles,nested,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_id,long,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.has_unbacked_execute_memory,boolean,custom,,,TODO
1.5.0-dev,true,process,process.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,process,process.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,process,process.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,process,process.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,process,process.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,process,process.hash_matched_module,boolean,custom,,,TODO
1.5.0-dev,true,process,process.is_endpoint,boolean,custom,,,Is this the Elastic Endpoint process or not.
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.data_buffer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.decompressed_size,integer,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.encoding,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.identifier,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.prevention_threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.score,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.upx_packed,boolean,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.version,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_percent,double,custom,,,TODO
1.5.0-dev,true,process,process.memory_region,nested,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.allocation_base,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.allocation_protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.bytes,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram,nested,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_array,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_flavor,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_resolution,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.length,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.memory,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.permission,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_base,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_tag,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.unbacked_on_disk,boolean,custom,,,TODO
1.5.0-dev,true,process,process.modules,nested,custom,,,These fields contain information about a list of modules.
1.5.0-dev,true,process,process.modules.architecture,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode,nested,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.timestamp_string,keyword,custom,,,TODO
